postalcode,borough,dIstrIct,Latitude,Longitude
34010,ZEYTINBURNU,TOPKAPI,41.01956000000007,28.911447810000027
34015,ZEYTINBURNU,SEYITNIZAM,41.01076500000005,28.911920224000028
34020,ZEYTINBURNU,TELSIZ,40.99210377000003,28.905205000000024
34022,BESIKTAS,ABBASAGA,41.04651918900004,29.006215000000054
34025,ZEYTINBURNU,CIRPICI,40.99265021700006,28.897785000000056
34030,BAYRAMPASA,NUMUNEBAG,41.03996311600008,28.913460000000043
34035,BAYRAMPASA,ALTINTEPSI,41.03663000000006,28.89812087400003
34040,BAYRAMPASA,MURATPASA,41.05065411600003,28.902860000000032
34045,BAYRAMPASA,YILDIRIM,41.05792771600005,28.89088000000004
34050,EYUPSULTAN,EYUP,41.04432710100008,28.934055000000058
34055,EYUPSULTAN,RAMI,41.040310367000075,28.92355500000008
34060,EYUPSULTAN,ALIBEYKOY,41.09052500000007,28.950778832000026
34065,EYUPSULTAN,YESILPINAR,41.074110000000076,28.931961795000063
34070,EYUPSULTAN,CIRCIR,41.085320000000024,28.928972187000056
34075,EYUPSULTAN,KEMERBURGAZ,41.16489973100005,28.93219000000005
34076,EYUPSULTAN,ISIKLAR,41.25197445100008,28.85994500000004
34077,EYUPSULTAN,GOKTURK,41.186125582000045,28.876790000000028
34080,FATIH,ISKENDERPASA,41.01573500000006,28.947475456000063
34083,FATIH,ZEYREK,41.02284000000003,28.954061163000063
34087,FATIH,BALAT,41.031573157000025,28.94446000000005
34091,FATIH,KARAGUMRUK,41.024335000000065,28.935905972000057
34093,FATIH,TOPKAPI,41.01718500000004,28.934965700000078
34096,FATIH,AKSARAY,41.006065000000035,28.947859365000056
34098,FATIH,KOCAMUSTAFAPASA,41.003055000000074,28.937915893000024
34104,FATIH,SEHREMINI,41.01284000000004,28.929626153000072
34107,FATIH,YEDIKULE,40.99797321500006,28.925920000000076
34110,FATIH,EMINONU,41.01280000000003,28.977065571000026
34112,FATIH,SIRKECI,41.01502987900005,28.97404000000006
34116,FATIH,TAHTAKALE,41.01516000000004,28.96637909100008
34120,FATIH,MAHMUTPASA,41.011560658000064,28.97112500000003
34122,FATIH,SULTANAHMET,41.00865500000003,28.98275620800007
34126,FATIH,BAYAZIT,41.00716625300004,28.967210000000023
34130,FATIH,KUMKAPI,41.00527500000004,28.958965570000032
34134,FATIH,VEFA,41.017592766000064,28.961115000000063
34140,BAKIRKOY,ZEYTINLIK,40.97794855500007,28.87303000000003
34142,BAKIRKOY,CEVIZLIK,40.97827500000005,28.880700258000047
34145,BAKIRKOY,KARTALTEPE,40.986501012000076,28.87687500000004
34146,BAKIRKOY,OSMANIYE,40.99208500000003,28.884655517000056
34147,BAKIRKOY,ZUHURATBABA,40.988635000000045,28.86201552600005
34149,BAKIRKOY,YESILKOY,40.97763000000003,28.823052294000036
34153,BAKIRKOY,FLORYA,40.97580500000004,28.790977144000067
34158,BAKIRKOY,ATAKOY,40.980905000000064,28.85432231200008
34160,GUNGOREN,AKINCILAR,41.01419000000004,28.870666825000058
